"""","家計外消費支出(列)","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","合計"
"28 金属製品","412.3198573195533","6537.035580428545","1877.4198557662955","12617.76854394974","15629.568280586438","-302.91928198965445","101.8349630940199","21694.972200845088","58568.00000000003"
"29 はん用機械","28.515014324761633","1158.7952462664264","373.9748047893952","1616.9763536572448","21383.381045094702","1532.4698583171182","115.06591581814493","27189.82176173223","53399.00000000002"
"30 生産用機械","36.649091029372435","1243.668108516648","478.3509562251849","777.569774772467","29860.01514984494","-367.72096590036784","90.98658268744455","10163.481302824317","42283.00000000001"
"31 業務用機械","111.05302382762366","3471.4833508446054","5365.086530467858","759.6706853771368","11291.081776567591","-136.20804614994879","14.613809692900663","2831.2188693722333","23708.0"
"32 電子部品","62.455933385254156","2742.2991336901387","1215.5362087623892","357.6216059222528","1167.688291460527","-36.89701147347846","109.30484269134062","14267.990995561584","19886.000000000007"
"33 電気機械","351.0432190679794","26830.279716336554","872.2871309620618","3095.0881874922034","25274.82783109779","1543.725624374273","100.97125531411368","18047.777035355033","76116.00000000001"
"34 情報・通信機器","586.629716124513","31145.641091343372","495.5379449339763","5515.978332043292","20793.29665280674","-1406.9768400357657","1.9890757035411561","429.90402708032656","57561.99999999999"
"35 輸送機械","161.81926579735125","44975.72960400266","3685.016695441375","2196.783974565065","38860.43145634832","-1380.0613105224618","46.77052931274234","8011.509785054931","96557.99999999997"
"39 その他の製造工業製品","1316.6667843569858","19362.57906771222","5462.337232610464","1022.7419408886905","4079.6144000021786","19.469737155417306","58.9468613879262","17658.64397588613","48981.00000000001"
"41 建設","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"46 電力・ガス・熱供給","252.90212319597887","9336.887717110825","1583.1426302087336","242.63587677347104","414.68274346832516","83.42945733741861","31.602253275938068","8185.71719862931","20131.0"
"47 水道","3.228230819963853","177.34898402928928","-11.535369708012183","1.7758917396536114","3.115210342884457","0.27614291579843453","0.12391335054058451","35.66699650988199","210.00000000000003"
"48 廃棄物処理","85.62751323060917","804.7396986739454","1998.94715576625","55.12991665262402","79.34428451999304","2.5569575885744404","1.668065865755359","533.9864077022484","3562.0"
"51 商業","5159.113593455242","137787.96955909778","9709.223772320474","5990.75893011775","18310.229001004973","917.358754436742","211.47818898735474","50737.86820057971","228824.00000000006"
"53 金融・保険","131.40046369009937","26895.132031659337","2398.799413733774","565.6615189224475","757.135203241411","35.94310378599374","15.66450921180049","4529.263755755136","35329.0"
"55 不動産","39.56144659974159","12388.088765263818","352.1646271260728","48.55562163851876","88.77827500648452","4.169652442365918","1.4687740791768455","543.2128378438207","13466.0"
"57 運輸・郵便","2279.6598277662442","54667.52472351013","10381.475262538102","4727.833140151671","7653.624850924167","790.0460058581193","140.8883095414533","47586.94787971013","128228.00000000003"
"59 情報通信","1500.8121015880888","78136.92876183083","10587.99377680093","5226.782626488878","24957.166828111545","82.90767643815103","58.37266131611597","19257.035567425453","139807.99999999997"
"61 公務","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"63 教育・研究","18.25263089004241","3868.3881946138454","12793.488509237812","75.51149615855564","176.0919411143385","30.228255038092335","30.832074469060014","4828.2068984782545","21821.0"
"64 医療・福祉","0.2290894885576455","5.697405023446039","22.054864259597736","0.000995457309617979","0.0023697937528875017","0.00009930780415034629","0.00002296806535053128","0.015153701466575756","28.000000000000004"
"65 その他の非営利団体ｻｰﾋﾞｽ","1.7400248062867585","340.81850559379507","8.432582088239199","2.8609152001111546","4.104798787627645","0.29798379999933367","0.1384603826283594","38.60672934131249","397.0"
"66 対事業所サ－ビス","2305.347859823266","74005.07827684829","30451.526426385215","13571.546120624176","23208.04414560618","435.75170844740484","255.332628346457","66988.37283391897","211220.99999999994"
"67 対個人サ－ビス","15860.381305956163","69103.01696786805","2491.8866118756673","72.65654139048056","138.24572138581746","3.360616911992698","1.4084567123884124","950.0437778994326","88621.0"
"68 事務用品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"69 分類不明","2.349899418663537","78.41363172101732","34.564401516456456","25.797278216443694","32.488794767745034","0.9079374700137017","0.3999617767793826","119.07809511288085","294.0"
"合　　計","46635.83874006657","996224.7352222397","167227.6885011771","88468.95238204364","285635.8683193361","51557.53695090459","5295.495347954868","1457447.8845362784","3098494.000000001"
