"""","01 農林 水産業 ","06 鉱業 ","11 飲食料品 ","15 繊維製品 ","16 パルプ ・紙・ 木製品","20 化学製品 ","21 石油・ 石炭製品 ","22 プラスチッ ク・ゴム ","25 窯業・ 土石製品 ","26 鉄鋼 ","27 非鉄金属 ","28 金属製品 ","29 はん用機械 ","30 生産用機械 ","31 業務用機械 ","32 電子部品 ","33 電気機械 ","34 情報・ 通信機器 ","35 輸送機械 ","39 その他の 製造工業 製品","41 建設 ","46 電力・ ガス・ 熱供給","47 水道 ","48 廃棄物処理 ","51 商業 ","53 金融・保険 ","55 不動産 ","57 運輸・郵便 ","59 情報通信 ","61 公務 ","63 教育・研究 ","64 医療・福祉 ","65 その他の 非営利団体 サービス","66 対事業所 サービス ","67 対個人 サービス ","68 事務用品 ","69 分類不明 ","行和 ","感応度 係数 "
"27 非鉄金属","0.006305675995413703","0.00985754479170529","0.012577986483508982","0.00860941718163478","0.01596996921612829","0.02398235563613245","0.007291703676438889","0.01892229062221256","0.016392694353180318","0.0249765085957349","2.311230646178087","0.1028490328054373","0.18978245346999834","0.08718018460704544","0.11887358524826526","0.2692240216407865","0.380353727068595","0.1306466354726912","0.08556276374329007","0.04852935797648637","0.04137004053017763","0.010600221569851036","0.012284625906524566","0.004441187614483847","0.005535126263067821","0.005873934851234592","0.0030088391784844058","0.008300594522967074","0.0077452983547827425","0.008403029325370053","0.005134841276905274","0.011116927983987501","0.007548655081816207","0.028762579200985076","0.006592808698471946","0.029986290075544937","0.03228822763425956","4.098111782831687","1.6660006647509489"
"28 金属製品","0.008952566720269055","0.039211828412954286","0.03574269393919377","0.01072324058954628","0.02459258049343003","0.02464883269123398","0.027375563058026","0.0229126611411474","0.02213285100835498","0.013979105311281383","0.013855044951778972","1.0706663892376498","0.04105538443540109","0.049820069290438265","0.042730903001149255","0.04643044380378771","0.0362543948309868","0.04210602437442014","0.054117440504799545","0.023385373390971086","0.0880886390596798","0.024820403987073317","0.011555342403930958","0.0048999455611076805","0.007314168663693423","0.0037569664454210933","0.004243276716865078","0.010569343835964312","0.005470812463813861","0.009512455694928468","0.003964133439136385","0.006714536498570785","0.007301483199400247","0.012441256327000284","0.010940427370964565","0.02076100673483089","0.0203008416605344","1.9033484312497357","0.7737660463531016"
"29 はん用機械","0.002003089261748491","0.007031678936533592","0.00252255416551461","0.002577917147594909","0.00412988602847287","0.004007865655537229","0.004992539882446441","0.0037529980357908117","0.004591174415425986","0.0031443908300446506","0.002850161803143621","0.004343066885660781","1.1625334737027981","0.04786724159184272","0.010943601066651987","0.007202575380291578","0.008281084227451512","0.0073737820931263935","0.04166816710140681","0.003508314059246022","0.011380191078257898","0.006196380163173366","0.013779915590030646","0.0023750133160412292","0.002786556136797944","0.0032101241361584473","0.0013380905862557548","0.0050577329716529045","0.0041534556876901335","0.0033433258861046947","0.002071608332282206","0.0023922056938437443","0.0028377951142778486","0.021298059755197454","0.002215583133882056","0.003982490800307313","0.004066841197287166","1.4278109318499692","0.5804463342278765"
"30 生産用機械","0.0019306278341274148","0.006162594200011107","0.0028120931100507874","0.0028143569354803634","0.0029186155022874983","0.004320101194812967","0.004447995862682067","0.006945852855461805","0.005063210516921004","0.0030133009099730236","0.0033128081941481338","0.0032094305668236016","0.007993911262840603","1.154107617537038","0.004951542356723519","0.007491325640633584","0.004992062076279169","0.0043339783316068215","0.01105637778194468","0.0037952061734979154","0.004752910927540431","0.006054000181710438","0.006580499183312943","0.0025918854912235683","0.0031782183590747517","0.0038029870503325865","0.001318486721168498","0.005348270226898394","0.004858650916211026","0.00307765074711803","0.002272950042268044","0.0025862364645314155","0.0032856063576533405","0.026130592882344265","0.002372251889072488","0.0036411023014662628","0.004102853711489415","1.331628162296759","0.5413452636605643"
"31 業務用機械","0.0011331828658969342","0.0018671903401225255","0.001522634008399497","0.0015406923709219366","0.0015720183999122718","0.002084202314966619","0.0014145056083994197","0.0018218578387374752","0.0018408240617975664","0.0012490220257794405","0.0016820089366706772","0.001481144147864017","0.007907644365357179","0.0075313957321930915","1.0989777088224035","0.001876222895426033","0.001989453077926913","0.001640534698889143","0.0032023240493283724","0.0020973714337378362","0.002570527009693421","0.0024469932194292375","0.0032812121890928576","0.001397263474374694","0.002729405069968071","0.00205453730934049","0.0006897636296026402","0.002624439915043079","0.002669657101556","0.010248953479405336","0.0012502714384267472","0.012804578361587677","0.0018394062864224682","0.013023516299888838","0.0021953712557455022","0.029773820020773122","0.0026671453855628803","1.2386987994406438","0.503566796772042"
"32 電子部品","0.0029841542321769527","0.005845716889229947","0.004314469199028653","0.00446244983225728","0.004501405327575615","0.006425760491652129","0.004428695790696985","0.005536742055160543","0.005729768866891046","0.003928692641385412","0.006101872883725901","0.0045495358149424655","0.05386565219983011","0.022457533283029615","0.1871824049641949","1.3800503383637777","0.16922133106889273","0.43261877482944683","0.017677855133995852","0.012466945837599625","0.009693768970706354","0.0077514506719341195","0.010237928004942281","0.004116970076015808","0.005582699807775927","0.006503536357743021","0.0022321149030170477","0.008171104080012277","0.009047513143609642","0.009691262076131576","0.005259315763662427","0.006119802659559118","0.0057876712388417375","0.04108861349307668","0.004090980605179752","0.05023522718868049","0.007265394960662608","2.5272254537070418","1.0273900539975518"
"33 電気機械","0.00202855570346749","0.0034792312211850054","0.00237636131659654","0.0023664254940406466","0.0027156749056919545","0.0034384618173712877","0.0026045074229588466","0.0030785208781405216","0.0033531399120832485","0.002205717109419582","0.0028433648378449108","0.002772963716629284","0.0810774295414706","0.04086402965108378","0.022596036044437297","0.01852350964882809","1.0784341198932268","0.041997328189478454","0.033460626812493746","0.004112104712831408","0.011945264437011435","0.004424950620628267","0.006115723214417121","0.0021259780812619518","0.0029859681690762594","0.003212764726302089","0.001382871792512782","0.004699504636514373","0.004342263245659678","0.004723085730936221","0.0026340966294763294","0.0025512869834218616","0.0028284509534569975","0.02109578268398833","0.0022786615646878026","0.004066487300607126","0.009814333117451618","1.4455555827166897","0.5876600467145825"
"34 情報・通信機器","0.00030214803534332085","0.0004969602463711801","0.00039765614904604653","0.00039898663636184407","0.0004241718768323798","0.0005271529145780123","0.00037899445688098244","0.000476746147823267","0.0004832071330617848","0.00034052696922193325","0.0004405912782421852","0.0004966868496484157","0.0005057446106667836","0.0007861977075295178","0.000493017019574307","0.0005756738418307439","0.000574758720861413","1.0303007643056752","0.005447437556368221","0.0006067885512999053","0.0025097349479106376","0.0006554722038113714","0.0007506951099334808","0.0003362577863363507","0.000838195722405282","0.0006497484348671548","0.0002908168993720391","0.0007676715818216433","0.0007037611973898744","0.0020413717673389317","0.00038668400856988513","0.0003654357117894755","0.0005220514295231089","0.002517852121088247","0.0005209741688578262","0.0005756316661592252","0.0006544218241699868","1.059540987588562","0.4307339777915275"
"35 輸送機械","0.014147343220861773","0.016563039900172594","0.011621854511031364","0.010263879505906381","0.010986894056529624","0.014861528770486505","0.012439303915273038","0.012441482109839341","0.01395221799444608","0.009736579372730068","0.011295412311080782","0.01024951512012159","0.011343268073034585","0.011774579889250257","0.010717386921388964","0.01265645228089893","0.011940447212578949","0.01076411427918812","1.2897098413983141","0.014856436806279023","0.016541655794764864","0.01947448127978273","0.02215846960948583","0.0096357061734576","0.011973939204028068","0.014042846958946953","0.00475929378764507","0.029557868414912116","0.01772514958690707","0.021407652010381743","0.008375235029357308","0.009354425086898882","0.012168690933018199","0.09381656342439798","0.009168855495494833","0.012857270678761154","0.015062668717551703","1.8504023498352036","0.7522419368346398"
"39 その他の製造工業製品","0.008025872397678087","0.013757950787853497","0.01924985819988503","0.02094058011021202","0.015763309283390693","0.018329975932532112","0.012875472526277276","0.02600593013453278","0.01482914626698837","0.032699220777661825","0.05742445916688825","0.01894971787162098","0.018536913735312424","0.014390512076556759","0.026328305859543044","0.020523960474995898","0.02245383333858217","0.019201210782834318","0.01630611250177404","1.0450771222555166","0.013085323300771022","0.01813221415768877","0.012396426924526648","0.010276935172510798","0.013078966201112733","0.024740530734222808","0.0035910447191833013","0.009542291257443688","0.02567910759576197","0.016069358584908763","0.022739089573693316","0.011859875097918143","0.05243055700173673","0.01526338013783425","0.014722511943487877","0.1656206747182447","0.026336335482482622","1.8972340870841646","0.7712803890591664"
