"""","家計外消費支出(列)","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","平均"
"31 業務用機械","7.217992230021163E-5","9.792000671158643E-5","4.0696731305725855E-4","2.159163641699366E-4","0.0014503232919648005","-1.2413783140170222E-4","0.0028040665293936257","0.0013547767563996923","7.735913782309043E-4"
"32 電子部品","2.426519727745461E-5","4.62375991661964E-5","5.511563300738201E-5","6.075863956764252E-5","8.965619342347305E-5","-2.010095465391937E-5","0.003197254223631586","0.0011395645698722321","5.218346087535544E-4"
"33 電気機械","1.4563113194398174E-4","4.8304674846076667E-4","4.223280022888067E-5","5.614884578777042E-4","0.002072168605777412","8.98005753227632E-4","0.014783077759081262","0.0040181639591935275","0.0020769143780596977"
"34 情報・通信機器","3.7546289180850185E-7","8.651084672187762E-7","3.701490623251102E-8","1.5438307333068006E-6","2.6300836329063896E-6","-1.2627148266640247E-6","2.3358806774606645E-4","1.927338659416243E-4","8.323451537927478E-5"
"35 輸送機械","3.83443489580616E-5","4.625084643939104E-4","1.01907788687496E-4","2.2763165838843188E-4","0.0018197930711528634","-4.5854809333025566E-4","0.004971105244719563","0.0013255182839146068","8.683555323629059E-4"
"39 その他の製造工業製品","0.003169700726512657","0.002022906965565162","0.0015346794039207432","0.0010766700053338085","0.0019409070732123378","6.572306935730322E-5","0.004163833119770093","0.0042993152509794835","0.002900572817723676"
"41 建設","0.001845644005585294","0.004416554754297076","0.003766861028216794","0.4033324814460019","0.1929697635691916","0.0011226064764378197","0.002415590564021173","0.0024647705416799776","0.02963970036837986"
"46 電力・ガス・熱供給","0.004115524628125552","0.006593943044697042","0.003006696203015833","0.0017266404678679815","0.001333619507860193","0.0019037394845186773","0.0048907036160294156","0.007768686449574926","0.006050059480300744"
"47 水道","0.0032489980572935075","0.007746114336084263","-0.001354918480809384","7.815837621715532E-4","6.196058298064274E-4","3.8970335770900324E-4","0.0011859968573201731","0.001179360438688119","0.002967855367157398"
"48 廃棄物処理","0.004868993254226008","0.001985873558478096","0.013265509366693032","0.0013708418230903617","8.916301316990162E-4","2.0387535726266336E-4","9.020271352445217E-4","9.975879340163567E-4","0.002844188146015135"
"51 商業","0.0707120401053971","0.08195961379676646","0.015531005143880668","0.03590660047362535","0.04959698766347508","0.017630833980794427","0.02756540802628029","0.03917267692894789","0.051018493540559366"
"53 金融・保険","0.005614827726546933","0.049875073030261785","0.011962728549931122","0.01056988694390234","0.006393758440329785","0.0021536269843834446","0.006365564107796686","0.0075082901241176735","0.02169009341850315"
"55 不動産","0.012145948371860707","0.16505698266072014","0.012618326909765842","0.006518879517527823","0.005386531655524149","0.001795041496055555","0.004288395508586801","0.005479291885436238","0.058054574044603575"
"57 運輸・郵便","0.019376283124803686","0.02016508985455781","0.010298080326717739","0.01757262878405167","0.012856147416230753","0.009416037438056144","0.011388222655282897","0.027488955091826597","0.02137389702421603"
"59 情報通信","0.008847884809248066","0.019991243075975197","0.00728489993016166","0.013474781900363829","0.02907713856687198","6.853670953689011E-4","0.003328359892367918","0.007834849501954518","0.013328578278665994"
"61 公務","1.6377292025211745E-4","0.0031940015421839745","0.21870531809902463","7.862141853139644E-4","4.4747591720636334E-4","8.872870192356374E-5","2.6508910204239405E-4","5.701446353567111E-4","0.027652653996488672"
"63 教育・研究","0.001670535734315869","0.015364933104249625","0.1366520206854674","0.003022160622265464","0.003185026326337558","0.0038793480485790747","0.026835742168881946","0.017235575535753105","0.02920568054245529"
"64 医療・福祉","0.027654427349843955","0.029847428961972275","0.3107138930070901","5.2548015068244875E-5","5.65344673080261E-5","1.6809633917381076E-5","2.6367228820057927E-5","6.0099848640941864E-5","0.04746310041778358"
"65 その他の非営利団体ｻｰﾋﾞｽ","0.0013342758374878386","0.011341844154130195","7.546534039336649E-4","9.593328929006957E-4","6.220500109183917E-4","3.204042034200245E-4","0.0010097091105247525","0.004353035935102707","0.00571964846289383"
"66 対事業所サ－ビス","0.01420535093695591","0.019790070850590275","0.021898851772506066","0.03656949780331275","0.028261635423072428","0.003765043242030311","0.014962438638532355","0.014213679547767763","0.01855513725955965"
"67 対個人サ－ビス","0.27546495571599217","0.05208588728190583","0.005051004843921498","5.518253170848163E-4","4.7451252269714974E-4","8.184404961718988E-5","4.6783954037839357E-4","0.011844499395609507","0.026444726911819417"
"68 事務用品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"69 分類不明","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"合　　計","0.47546549010711436","0.5137250241265671","0.7804875094167646","0.5648696984888371","0.365092782795339","0.18686659068692912","0.43357628110441065","0.46142963505378615","0.5106230616781975"
